Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.048000,Auto
Start Frequency,+1.155000000e+09
Stop Frequency,+1.655000000e+09
Offset Frequency,+0.000000000e+00
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,ON
Ref Level,-4.000000000e+01
Attenuation,1,Manual
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
External Trigger Edge,FALL
Video Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C,Trace D
Trace Type,View,View,View,View
Trace Detector,Pos Peak,Pos Peak,Pos Peak,Pos Peak
Trace Data
1.196333e+09,-8.751021e+01,-8.588042e+01,-8.625502e+01,-8.442159e+01
1.197000e+09,-8.738978e+01,-8.576773e+01,-8.661774e+01,-8.408087e+01
1.197667e+09,-8.743545e+01,-8.534001e+01,-8.638525e+01,-8.396235e+01
1.198333e+09,-8.756307e+01,-8.544688e+01,-8.639650e+01,-8.385846e+01
1.199000e+09,-8.706955e+01,-8.515140e+01,-8.612897e+01,-8.377019e+01
1.199667e+09,-8.727281e+01,-8.490172e+01,-8.617826e+01,-8.374443e+01
1.200333e+09,-8.706415e+01,-8.492483e+01,-8.607579e+01,-8.376520e+01
1.201000e+09,-8.674636e+01,-8.468200e+01,-8.601106e+01,-8.370244e+01
1.201667e+09,-8.678577e+01,-8.461749e+01,-8.562900e+01,-8.325245e+01
1.202333e+09,-8.641501e+01,-8.409861e+01,-8.602266e+01,-8.377776e+01
1.203000e+09,-8.644484e+01,-8.390139e+01,-8.573329e+01,-8.312773e+01
1.203667e+09,-8.585907e+01,-8.363288e+01,-8.559329e+01,-8.294162e+01
1.204333e+09,-8.605742e+01,-8.341545e+01,-8.569924e+01,-8.326903e+01
1.205000e+09,-8.592187e+01,-8.293549e+01,-8.582061e+01,-8.297241e+01
1.205667e+09,-8.583122e+01,-8.311002e+01,-8.554364e+01,-8.269445e+01
1.206333e+09,-8.533230e+01,-8.280333e+01,-8.551512e+01,-8.298883e+01
1.207000e+09,-8.536353e+01,-8.285456e+01,-8.523811e+01,-8.301830e+01
1.207667e+09,-8.541252e+01,-8.239818e+01,-8.504784e+01,-8.274964e+01
1.208333e+09,-8.513656e+01,-8.251798e+01,-8.512099e+01,-8.283258e+01
1.209000e+09,-8.537588e+01,-8.265090e+01,-8.521424e+01,-8.246236e+01
1.209667e+09,-8.558152e+01,-8.274498e+01,-8.540664e+01,-8.273170e+01
1.210333e+09,-8.568709e+01,-8.272680e+01,-8.495674e+01,-8.249299e+01
1.211000e+09,-8.547097e+01,-8.279828e+01,-8.482617e+01,-8.227831e+01
1.211667e+09,-8.592558e+01,-8.287413e+01,-8.496659e+01,-8.213971e+01
1.212333e+09,-8.588867e+01,-8.307478e+01,-8.495529e+01,-8.204643e+01
1.213000e+09,-8.599907e+01,-8.325573e+01,-8.460798e+01,-8.193942e+01
1.213667e+09,-8.608365e+01,-8.351269e+01,-8.449521e+01,-8.219566e+01
1.214333e+09,-8.597948e+01,-8.358358e+01,-8.434052e+01,-8.211646e+01
1.215000e+09,-8.623914e+01,-8.384037e+01,-8.418790e+01,-8.171497e+01
1.215667e+09,-8.619725e+01,-8.398356e+01,-8.396082e+01,-8.167253e+01
1.216333e+09,-8.581484e+01,-8.381567e+01,-8.401885e+01,-8.157948e+01
1.217000e+09,-8.568228e+01,-8.319931e+01,-8.379011e+01,-8.152575e+01
1.217667e+09,-8.543835e+01,-8.254312e+01,-8.377383e+01,-8.065501e+01
1.218333e+09,-8.459015e+01,-7.113663e+01,-8.274357e+01,-7.057392e+01
1.219000e+09,-8.062360e+01,-6.485266e+01,-7.943452e+01,-6.407743e+01
1.219667e+09,-8.161966e+01,-6.577452e+01,-8.042714e+01,-6.504847e+01
1.220333e+09,-8.506173e+01,-7.581853e+01,-8.291359e+01,-7.476668e+01
1.221000e+09,-8.513034e+01,-8.237281e+01,-8.326023e+01,-8.059546e+01
1.221667e+09,-8.526293e+01,-8.261860e+01,-8.339196e+01,-8.042150e+01
1.222333e+09,-8.514059e+01,-8.225556e+01,-8.327736e+01,-8.017074e+01
1.223000e+09,-8.507627e+01,-8.208471e+01,-8.293745e+01,-8.027447e+01
1.223667e+09,-8.498174e+01,-8.233233e+01,-8.290701e+01,-8.033579e+01
1.224333e+09,-8.473810e+01,-8.222829e+01,-8.252826e+01,-8.005302e+01
1.225000e+09,-8.423007e+01,-8.213160e+01,-8.226884e+01,-7.983308e+01
1.225667e+09,-8.426782e+01,-8.221967e+01,-8.226241e+01,-7.965483e+01
1.226333e+09,-8.400867e+01,-8.194375e+01,-8.236670e+01,-7.940053e+01
1.227000e+09,-8.345461e+01,-8.075293e+01,-8.194096e+01,-7.975430e+01
1.227667e+09,-8.257307e+01,-7.963642e+01,-8.238755e+01,-7.953363e+01
1.228333e+09,-8.363808e+01,-8.055759e+01,-8.190120e+01,-7.969481e+01
1.229000e+09,-8.431260e+01,-8.142225e+01,-8.190394e+01,-7.904443e+01
1.229667e+09,-8.403383e+01,-8.145893e+01,-8.195836e+01,-7.955893e+01
1.230333e+09,-8.464980e+01,-8.182511e+01,-8.205023e+01,-7.924982e+01
1.231000e+09,-8.412133e+01,-8.171192e+01,-8.177205e+01,-7.946582e+01
1.231667e+09,-8.430134e+01,-8.176943e+01,-8.169766e+01,-7.944558e+01
1.232333e+09,-8.449661e+01,-8.179106e+01,-8.143901e+01,-7.922325e+01
1.233000e+09,-8.443030e+01,-8.221313e+01,-8.139927e+01,-7.920225e+01
1.233667e+09,-8.452687e+01,-8.213241e+01,-8.131282e+01,-7.913457e+01
1.234333e+09,-8.406720e+01,-8.199850e+01,-8.136083e+01,-7.925262e+01
1.235000e+09,-8.410687e+01,-8.208797e+01,-8.121905e+01,-7.910342e+01
1.235667e+09,-8.383909e+01,-8.181735e+01,-8.101089e+01,-7.886973e+01
1.236333e+09,-8.391023e+01,-8.157510e+01,-8.113971e+01,-7.895878e+01
1.237000e+09,-8.377215e+01,-8.167743e+01,-8.076040e+01,-7.895218e+01
1.237667e+09,-8.407501e+01,-8.195436e+01,-8.074981e+01,-7.911867e+01
1.238333e+09,-8.400862e+01,-8.187832e+01,-8.072986e+01,-7.874942e+01
1.239000e+09,-8.409367e+01,-8.216967e+01,-8.062438e+01,-7.876165e+01
1.239667e+09,-8.416722e+01,-8.263293e+01,-8.032797e+01,-7.859632e+01
1.240333e+09,-8.434899e+01,-8.268834e+01,-8.046818e+01,-7.868873e+01
1.241000e+09,-8.475192e+01,-8.249307e+01,-8.031307e+01,-7.869963e+01
1.241667e+09,-8.492623e+01,-8.264173e+01,-8.005732e+01,-7.853630e+01
1.242333e+09,-8.459155e+01,-8.288440e+01,-8.043630e+01,-7.844046e+01
1.243000e+09,-8.429559e+01,-8.202218e+01,-8.027978e+01,-7.834641e+01
1.243667e+09,-8.323083e+01,-8.106849e+01,-8.003789e+01,-7.880102e+01
1.244333e+09,-8.227979e+01,-8.004865e+01,-7.985116e+01,-7.814019e+01
1.245000e+09,-8.204027e+01,-7.975761e+01,-8.000065e+01,-7.838497e+01
1.245667e+09,-8.209807e+01,-8.018163e+01,-7.977647e+01,-7.832528e+01
1.246333e+09,-8.217628e+01,-8.097169e+01,-7.938850e+01,-7.815404e+01
1.247000e+09,-8.287714e+01,-8.169632e+01,-7.950992e+01,-7.842103e+01
1.247667e+09,-8.242563e+01,-8.165425e+01,-7.961281e+01,-7.837271e+01
1.248333e+09,-8.297378e+01,-8.216145e+01,-7.925960e+01,-7.854419e+01
1.249000e+09,-8.432308e+01,-8.309182e+01,-7.921109e+01,-7.866978e+01
1.249667e+09,-8.453338e+01,-8.348525e+01,-7.958711e+01,-7.886256e+01
1.250333e+09,-8.464532e+01,-8.363129e+01,-7.978655e+01,-7.868986e+01
1.251000e+09,-8.476914e+01,-8.377361e+01,-7.979307e+01,-7.885451e+01
1.251667e+09,-8.494506e+01,-8.377980e+01,-7.948828e+01,-7.936880e+01
1.252333e+09,-8.453767e+01,-8.402045e+01,-7.927058e+01,-7.877739e+01
1.253000e+09,-8.440675e+01,-8.375227e+01,-7.933127e+01,-7.902039e+01
1.253667e+09,-8.464451e+01,-8.382166e+01,-7.917563e+01,-7.893291e+01
1.254333e+09,-8.454600e+01,-8.388802e+01,-7.869770e+01,-7.914637e+01
1.255000e+09,-8.418215e+01,-8.384796e+01,-7.897646e+01,-7.914082e+01
1.255667e+09,-8.414065e+01,-8.423117e+01,-7.907357e+01,-7.934539e+01
1.256333e+09,-8.420349e+01,-8.469054e+01,-7.874759e+01,-7.979272e+01
1.257000e+09,-8.414243e+01,-8.478336e+01,-7.910329e+01,-7.962682e+01
1.257667e+09,-8.485443e+01,-8.461127e+01,-7.874264e+01,-7.975452e+01
1.258333e+09,-8.465035e+01,-8.510466e+01,-7.898858e+01,-7.951822e+01
1.259000e+09,-8.477856e+01,-8.460040e+01,-7.881370e+01,-7.968921e+01
1.259667e+09,-8.430175e+01,-8.456424e+01,-7.837338e+01,-7.955426e+01
1.260333e+09,-8.437300e+01,-8.450037e+01,-7.879306e+01,-7.961723e+01
1.261000e+09,-8.374783e+01,-8.351570e+01,-7.869255e+01,-7.948483e+01
1.261667e+09,-8.317420e+01,-8.384698e+01,-7.860889e+01,-7.981542e+01
1.262333e+09,-8.315158e+01,-8.343842e+01,-7.829191e+01,-8.001418e+01
1.263000e+09,-8.270406e+01,-8.315213e+01,-7.873928e+01,-7.992187e+01
1.263667e+09,-8.213134e+01,-8.251151e+01,-7.851206e+01,-8.052017e+01
1.264333e+09,-8.144968e+01,-8.179973e+01,-7.844050e+01,-8.002254e+01
1.265000e+09,-8.061526e+01,-8.124357e+01,-7.868833e+01,-8.021803e+01
1.265667e+09,-7.944532e+01,-8.043381e+01,-7.863944e+01,-8.025425e+01
1.266333e+09,-7.909130e+01,-7.963224e+01,-7.874433e+01,-8.026601e+01
1.267000e+09,-7.843079e+01,-7.899167e+01,-7.866432e+01,-7.992195e+01
1.267667e+09,-7.812459e+01,-7.860802e+01,-7.869483e+01,-7.984724e+01
1.268333e+09,-7.812360e+01,-7.862605e+01,-7.842451e+01,-7.999203e+01
1.269000e+09,-7.828507e+01,-7.896681e+01,-7.861572e+01,-8.004327e+01
1.269667e+09,-7.871975e+01,-7.929550e+01,-7.924878e+01,-8.024005e+01
1.270333e+09,-7.896601e+01,-7.990404e+01,-7.879136e+01,-8.023630e+01
1.271000e+09,-7.985792e+01,-8.005377e+01,-7.935087e+01,-8.032756e+01
1.271667e+09,-8.039820e+01,-8.108716e+01,-7.960984e+01,-8.030905e+01
1.272333e+09,-8.129225e+01,-8.162434e+01,-7.966312e+01,-8.049443e+01
1.273000e+09,-8.192453e+01,-8.230286e+01,-7.936520e+01,-8.064475e+01
1.273667e+09,-8.275118e+01,-8.287287e+01,-7.932807e+01,-8.013371e+01
1.274333e+09,-8.301249e+01,-8.330757e+01,-7.928562e+01,-8.057601e+01
1.275000e+09,-8.288527e+01,-8.326259e+01,-7.935981e+01,-8.004987e+01
1.275667e+09,-8.229760e+01,-8.289008e+01,-7.899098e+01,-8.021832e+01
1.276333e+09,-8.140737e+01,-8.176509e+01,-7.923576e+01,-8.006557e+01
1.277000e+09,-8.051478e+01,-8.126564e+01,-7.923088e+01,-8.043166e+01
1.277667e+09,-7.973701e+01,-8.089286e+01,-7.911389e+01,-8.075186e+01
1.278333e+09,-7.936254e+01,-8.050273e+01,-7.914405e+01,-8.064772e+01
1.279000e+09,-7.963922e+01,-8.042030e+01,-7.934941e+01,-8.099044e+01
1.279667e+09,-7.973996e+01,-8.067168e+01,-7.943472e+01,-8.104827e+01
1.280333e+09,-8.036204e+01,-8.137790e+01,-7.947882e+01,-8.063886e+01
1.281000e+09,-8.147460e+01,-8.237165e+01,-7.934241e+01,-8.068690e+01
1.281667e+09,-8.218118e+01,-8.328765e+01,-7.923789e+01,-8.041260e+01
1.282333e+09,-8.367352e+01,-8.415313e+01,-7.913885e+01,-8.077458e+01
1.283000e+09,-8.436469e+01,-8.502565e+01,-7.893922e+01,-8.016212e+01
1.283667e+09,-8.481398e+01,-8.577659e+01,-7.895731e+01,-8.060020e+01
1.284333e+09,-8.489169e+01,-8.563377e+01,-7.864697e+01,-8.042516e+01
