Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.072000,Auto
Start Frequency,+1.030000000e+09
Stop Frequency,+1.780000000e+09
Offset Frequency,+0.000000000e+00
Average Type,Log Pwr
RBW,1000000.000000,Auto
VBW,1000000.000000,Auto
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,ON
Ref Level,-4.000000000e+01
Attenuation,2,Manual
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
External Trigger Edge,FALL
Video Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
Trace Name,Trace A,Trace B,Trace C
Trace Type,View,View,View
Trace Detector,Pos Peak,Pos Peak,Pos Peak
Trace Data
1.051000e+09,-1.003445e+02,-1.000043e+02,-9.996752e+01
1.052000e+09,-1.001637e+02,-9.993620e+01,-9.990755e+01
1.053000e+09,-1.002582e+02,-9.984085e+01,-1.001594e+02
1.054000e+09,-1.001726e+02,-1.000084e+02,-1.001969e+02
1.055000e+09,-1.003841e+02,-9.987902e+01,-9.995970e+01
1.056000e+09,-1.001386e+02,-9.976680e+01,-1.001831e+02
1.057000e+09,-1.004090e+02,-9.975719e+01,-1.002730e+02
1.058000e+09,-1.002607e+02,-9.977272e+01,-1.000838e+02
1.059000e+09,-1.001796e+02,-9.993451e+01,-9.987173e+01
1.060000e+09,-1.004432e+02,-9.968822e+01,-1.000528e+02
1.061000e+09,-1.001630e+02,-9.951409e+01,-9.989221e+01
1.062000e+09,-1.003910e+02,-9.970846e+01,-9.992729e+01
1.063000e+09,-1.002575e+02,-9.995973e+01,-9.999884e+01
1.064000e+09,-1.003100e+02,-9.970518e+01,-1.000046e+02
1.065000e+09,-1.000656e+02,-9.969870e+01,-9.974736e+01
1.066000e+09,-1.005223e+02,-9.989738e+01,-1.000196e+02
1.067000e+09,-1.002479e+02,-9.996499e+01,-9.972971e+01
1.068000e+09,-1.005017e+02,-9.979147e+01,-9.996156e+01
1.069000e+09,-1.002747e+02,-9.993371e+01,-9.981756e+01
1.070000e+09,-1.004298e+02,-9.953158e+01,-9.961210e+01
1.071000e+09,-1.000337e+02,-9.969214e+01,-9.960140e+01
1.072000e+09,-1.002325e+02,-9.961868e+01,-9.979757e+01
1.073000e+09,-1.004200e+02,-9.943456e+01,-9.979264e+01
1.074000e+09,-1.002828e+02,-9.942974e+01,-9.967278e+01
1.075000e+09,-1.003093e+02,-9.951527e+01,-9.983706e+01
1.076000e+09,-1.002157e+02,-9.928154e+01,-9.943653e+01
1.077000e+09,-1.001215e+02,-9.960587e+01,-9.951946e+01
1.078000e+09,-1.002464e+02,-9.904152e+01,-9.952801e+01
1.079000e+09,-1.000196e+02,-9.937661e+01,-9.955967e+01
1.080000e+09,-9.997405e+01,-9.932107e+01,-9.964092e+01
1.081000e+09,-1.000535e+02,-9.908897e+01,-9.947293e+01
1.082000e+09,-1.001937e+02,-9.938751e+01,-9.922686e+01
1.083000e+09,-1.002144e+02,-9.926457e+01,-9.947722e+01
1.084000e+09,-1.004172e+02,-9.934344e+01,-9.950323e+01
1.085000e+09,-1.004922e+02,-9.930976e+01,-9.929907e+01
1.086000e+09,-1.001497e+02,-9.915457e+01,-9.943761e+01
1.087000e+09,-9.988328e+01,-9.937459e+01,-9.935941e+01
1.088000e+09,-1.001322e+02,-9.936563e+01,-9.946025e+01
1.089000e+09,-1.001348e+02,-9.920740e+01,-9.924702e+01
1.090000e+09,-1.000670e+02,-9.918149e+01,-9.925995e+01
1.091000e+09,-1.002792e+02,-9.908561e+01,-9.948764e+01
1.092000e+09,-1.002633e+02,-9.897734e+01,-9.911219e+01
1.093000e+09,-1.000180e+02,-9.913688e+01,-9.948632e+01
1.094000e+09,-1.000234e+02,-9.880912e+01,-9.921839e+01
1.095000e+09,-1.001988e+02,-9.894413e+01,-9.912686e+01
1.096000e+09,-1.001019e+02,-9.882688e+01,-9.905313e+01
1.097000e+09,-1.002471e+02,-9.870820e+01,-9.918036e+01
1.098000e+09,-1.004240e+02,-9.873209e+01,-9.915526e+01
1.099000e+09,-1.001354e+02,-9.883156e+01,-9.892057e+01
1.100000e+09,-1.000026e+02,-9.860530e+01,-9.877955e+01
1.101000e+09,-1.001711e+02,-9.863254e+01,-9.877921e+01
1.102000e+09,-1.001202e+02,-9.882633e+01,-9.898461e+01
1.103000e+09,-9.997168e+01,-9.829602e+01,-9.876538e+01
1.104000e+09,-1.000935e+02,-9.878262e+01,-9.888687e+01
1.105000e+09,-1.001770e+02,-9.862366e+01,-9.865619e+01
1.106000e+09,-1.001743e+02,-9.867719e+01,-9.886116e+01
1.107000e+09,-9.995095e+01,-9.844047e+01,-9.860109e+01
1.108000e+09,-1.002353e+02,-9.833740e+01,-9.876706e+01
1.109000e+09,-9.997605e+01,-9.838921e+01,-9.823230e+01
1.110000e+09,-1.001275e+02,-9.840952e+01,-9.794649e+01
1.111000e+09,-1.001412e+02,-9.839029e+01,-9.798629e+01
1.112000e+09,-1.002973e+02,-9.821812e+01,-9.806719e+01
1.113000e+09,-9.998464e+01,-9.837097e+01,-9.799924e+01
1.114000e+09,-1.000332e+02,-9.810554e+01,-9.782442e+01
1.115000e+09,-1.001042e+02,-9.845526e+01,-9.789448e+01
1.116000e+09,-9.998461e+01,-9.794995e+01,-9.739836e+01
1.117000e+09,-9.998076e+01,-9.819274e+01,-9.744147e+01
1.118000e+09,-1.002482e+02,-9.803713e+01,-9.736751e+01
1.119000e+09,-9.986536e+01,-9.823506e+01,-9.750307e+01
1.120000e+09,-1.002487e+02,-9.789585e+01,-9.728507e+01
1.121000e+09,-1.000322e+02,-9.760710e+01,-9.733591e+01
1.122000e+09,-9.992836e+01,-9.814685e+01,-9.722382e+01
1.123000e+09,-1.000410e+02,-9.809286e+01,-9.708140e+01
1.124000e+09,-1.001805e+02,-9.774896e+01,-9.706069e+01
1.125000e+09,-1.001161e+02,-9.778719e+01,-9.657296e+01
