Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.258000,Auto
Start Frequency,+1.155000000e+09
Stop Frequency,+1.655000000e+09
Offset Frequency,+0.000000000e+00
Average Type,Log Pwr
RBW,1000000.000000,Manual
VBW,30000.000000,Manual
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,ON
Ref Level,-4.000000000e+01
Attenuation,0,Manual
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
External Trigger Edge,FALL
Video Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
1.225667e+09,-6.970703e+01,-6.929199e+01
1.226333e+09,-7.000488e+01,-6.909668e+01
1.227000e+09,-6.974121e+01,-6.897461e+01
1.227667e+09,-6.925781e+01,-6.904785e+01
1.228333e+09,-6.996094e+01,-6.935059e+01
1.229000e+09,-7.019043e+01,-6.973633e+01
1.229667e+09,-7.049316e+01,-7.002930e+01
1.230333e+09,-7.052246e+01,-7.013184e+01
1.231000e+09,-7.077148e+01,-7.044434e+01
1.231667e+09,-7.086914e+01,-7.046387e+01
1.232333e+09,-7.104492e+01,-7.048340e+01
1.233000e+09,-7.109375e+01,-7.062012e+01
1.233667e+09,-7.109863e+01,-7.089844e+01
1.234333e+09,-7.105469e+01,-7.082520e+01
1.235000e+09,-7.134766e+01,-7.086426e+01
1.235667e+09,-7.127930e+01,-7.058105e+01
1.236333e+09,-7.118164e+01,-7.046387e+01
1.237000e+09,-7.090332e+01,-7.009766e+01
1.237667e+09,-7.103516e+01,-7.024902e+01
1.238333e+09,-7.056641e+01,-7.025391e+01
1.239000e+09,-7.099121e+01,-7.022949e+01
1.239667e+09,-7.119629e+01,-7.037109e+01
1.240333e+09,-7.118652e+01,-7.054199e+01
1.241000e+09,-7.083984e+01,-7.002441e+01
1.241667e+09,-7.143555e+01,-6.953125e+01
1.242333e+09,-7.120605e+01,-6.829590e+01
1.243000e+09,-7.147461e+01,-6.691895e+01
1.243667e+09,-7.126465e+01,-6.587891e+01
