Machine Module,SSA3021X
Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
Sweep Time(s),0.258000,Auto
Start Frequency,+1.155000000e+09
Stop Frequency,+1.655000000e+09
Offset Frequency,+0.000000000e+00
Average Type,Log Pwr
RBW,1000000.000000,Manual
VBW,30000.000000,Manual
Sweep Type,Continuous
Sweep Mode,Auto
Sweep Rule,Speed
PreAmp State,ON
Ref Level,-4.000000000e+01
Attenuation,0,Manual
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
External Trigger Edge,FALL
Video Trigger Edge,FALL
Marker Information
Marker,Trace,Type,X Axis,Amplitude
Trace Math,0
Trace Variable X,Trace A
Trace Variable Y,Trace B
Trace Variable Z,Trace C
1.225667e+09,-6.981934e+01,-6.899902e+01
1.226333e+09,-6.971680e+01,-6.916992e+01
1.227000e+09,-6.972168e+01,-6.910156e+01
1.227667e+09,-6.954590e+01,-6.877930e+01
1.228333e+09,-6.998535e+01,-6.927246e+01
1.229000e+09,-6.992188e+01,-6.981934e+01
1.229667e+09,-7.039062e+01,-6.983398e+01
1.230333e+09,-7.045410e+01,-7.007324e+01
1.231000e+09,-7.058105e+01,-7.038574e+01
1.231667e+09,-7.088379e+01,-7.045898e+01
1.232333e+09,-7.119141e+01,-7.001465e+01
1.233000e+09,-7.138672e+01,-7.052246e+01
1.233667e+09,-7.131348e+01,-7.063477e+01
1.234333e+09,-7.112305e+01,-7.076172e+01
1.235000e+09,-7.137207e+01,-7.064941e+01
1.235667e+09,-7.121582e+01,-7.021484e+01
1.236333e+09,-7.085938e+01,-7.047363e+01
1.237000e+09,-7.051758e+01,-7.025391e+01
1.237667e+09,-7.083008e+01,-7.007324e+01
1.238333e+09,-7.081055e+01,-7.047363e+01
1.239000e+09,-7.081543e+01,-7.032227e+01
1.239667e+09,-7.049316e+01,-7.031738e+01
1.240333e+09,-7.071777e+01,-7.053711e+01
1.241000e+09,-7.099609e+01,-7.064941e+01
1.241667e+09,-7.081543e+01,-7.007812e+01
1.242333e+09,-7.114258e+01,-6.995117e+01
1.243000e+09,-7.110840e+01,-6.905273e+01
1.243667e+09,-7.105469e+01,-6.814941e+01
1.244333e+09,-7.072754e+01,-6.613281e+01
1.245000e+09,-7.079590e+01,-6.245605e+01
1.245667e+09,-7.088379e+01,-6.473633e+01
1.246333e+09,-7.127930e+01,-6.783691e+01
1.247000e+09,-7.093262e+01,-6.874512e+01
1.247667e+09,-7.004395e+01,-6.894043e+01
1.248333e+09,-7.024902e+01,-6.828125e+01
1.249000e+09,-7.033203e+01,-6.920410e+01
1.249667e+09,-7.041992e+01,-6.925293e+01
1.250333e+09,-7.042480e+01,-6.938477e+01
1.251000e+09,-7.053711e+01,-7.025391e+01
1.251667e+09,-7.075195e+01,-7.037109e+01
1.252333e+09,-7.079102e+01,-7.029785e+01
1.253000e+09,-7.061035e+01,-7.034668e+01
1.253667e+09,-7.085938e+01,-7.067383e+01
1.254333e+09,-7.117188e+01,-7.072754e+01
1.255000e+09,-6.780273e+01,-7.081055e+01
1.255667e+09,-7.144043e+01,-7.080078e+01
1.256333e+09,-7.123047e+01,-7.043457e+01
1.257000e+09,-7.129395e+01,-7.047363e+01
1.257667e+09,-7.091309e+01,-7.056152e+01
1.258333e+09,-7.099121e+01,-7.073242e+01
1.259000e+09,-7.083008e+01,-7.042969e+01
1.259667e+09,-7.072754e+01,-7.033691e+01
1.260333e+09,-7.098145e+01,-7.026855e+01
1.261000e+09,-7.086426e+01,-7.034180e+01
1.261667e+09,-7.066895e+01,-7.064453e+01
1.262333e+09,-7.101074e+01,-7.075684e+01
1.263000e+09,-7.141602e+01,-7.073730e+01
1.263667e+09,-7.088379e+01,-7.123535e+01
1.264333e+09,-7.122559e+01,-7.117188e+01
1.265000e+09,-7.112305e+01,-7.087402e+01
1.265667e+09,-7.094238e+01,-7.060547e+01
1.266333e+09,-7.064941e+01,-7.040039e+01
1.267000e+09,-7.035156e+01,-7.018066e+01
1.267667e+09,-7.073242e+01,-7.000000e+01
1.268333e+09,-7.037109e+01,-7.013184e+01
1.269000e+09,-7.025391e+01,-7.011719e+01
1.269667e+09,-7.042480e+01,-7.013184e+01
1.270333e+09,-7.069336e+01,-7.049316e+01
1.271000e+09,-7.091309e+01,-7.093262e+01
1.271667e+09,-7.136719e+01,-7.134277e+01
1.272333e+09,-7.179199e+01,-7.161133e+01
1.273000e+09,-7.195312e+01,-7.179199e+01
1.273667e+09,-7.259766e+01,-7.271973e+01
1.274333e+09,-7.261719e+01,-7.272461e+01
1.275000e+09,-7.300781e+01,-7.277832e+01
1.275667e+09,-7.326660e+01,-7.303711e+01
1.276333e+09,-7.345215e+01,-7.256836e+01
1.277000e+09,-7.304199e+01,-7.245117e+01
1.277667e+09,-7.301758e+01,-7.209473e+01
1.278333e+09,-7.284180e+01,-7.188965e+01
1.279000e+09,-7.316895e+01,-7.172363e+01
1.279667e+09,-7.292969e+01,-7.204590e+01
1.280333e+09,-7.336914e+01,-7.214355e+01
1.281000e+09,-7.358398e+01,-7.270508e+01
1.281667e+09,-7.342773e+01,-7.298340e+01
1.282333e+09,-7.356934e+01,-7.321777e+01
1.283000e+09,-7.401855e+01,-7.358887e+01
1.283667e+09,-7.390625e+01,-7.367188e+01
1.284333e+09,-7.452148e+01,-7.401367e+01
1.285000e+09,-7.447754e+01,-7.384766e+01
1.285667e+09,-7.465820e+01,-7.366211e+01
1.286333e+09,-7.459473e+01,-7.379395e+01
1.287000e+09,-7.456055e+01,-7.394531e+01
1.287667e+09,-7.440918e+01,-7.386230e+01
1.288333e+09,-7.442383e+01,-7.375977e+01
1.289000e+09,-7.400391e+01,-7.354492e+01
1.289667e+09,-7.286621e+01,-7.189941e+01
1.290333e+09,-6.938965e+01,-6.782227e+01
1.291000e+09,-7.151367e+01,-6.942383e+01
1.291667e+09,-7.401367e+01,-7.340820e+01
1.292333e+09,-7.389648e+01,-7.344727e+01
1.293000e+09,-7.412598e+01,-7.358887e+01
1.293667e+09,-7.430176e+01,-7.382812e+01
1.294333e+09,-7.390625e+01,-7.289551e+01
1.295000e+09,-7.296387e+01,-7.086914e+01
1.295667e+09,-7.410156e+01,-7.322754e+01
1.296333e+09,-7.381836e+01,-7.384277e+01
1.297000e+09,-7.457520e+01,-7.394531e+01
1.297667e+09,-7.443848e+01,-7.366211e+01
1.298333e+09,-7.401855e+01,-7.396973e+01
1.299000e+09,-7.401855e+01,-7.387695e+01
1.299667e+09,-7.381348e+01,-7.354980e+01
1.300333e+09,-7.409180e+01,-7.365234e+01
1.301000e+09,-7.394043e+01,-7.358398e+01
1.301667e+09,-7.382324e+01,-7.327637e+01
1.302333e+09,-7.373535e+01,-7.309082e+01
1.303000e+09,-7.374512e+01,-7.252930e+01
1.303667e+09,-7.350586e+01,-7.290039e+01
1.304333e+09,-7.336426e+01,-7.311035e+01
1.305000e+09,-7.305664e+01,-7.307617e+01
1.305667e+09,-7.320801e+01,-7.302734e+01
1.306333e+09,-7.335449e+01,-7.280762e+01
1.307000e+09,-7.372559e+01,-7.247070e+01
1.307667e+09,-7.342773e+01,-7.294922e+01
1.308333e+09,-7.340820e+01,-7.288574e+01
1.309000e+09,-7.349121e+01,-7.219727e+01
1.309667e+09,-7.302246e+01,-7.254883e+01
1.310333e+09,-7.295410e+01,-7.247559e+01
1.311000e+09,-7.331543e+01,-7.244141e+01
1.311667e+09,-7.288086e+01,-7.208984e+01
1.312333e+09,-7.277344e+01,-7.193848e+01
1.313000e+09,-7.276855e+01,-7.209473e+01
1.313667e+09,-7.262207e+01,-7.192383e+01
1.314333e+09,-7.217285e+01,-7.168457e+01
1.315000e+09,-7.199707e+01,-7.137207e+01
1.315667e+09,-7.225586e+01,-7.185547e+01
1.316333e+09,-7.245117e+01,-7.179688e+01
1.317000e+09,-7.230957e+01,-7.189941e+01
1.317667e+09,-7.244141e+01,-7.201172e+01
1.318333e+09,-7.246094e+01,-7.197754e+01
1.319000e+09,-7.213379e+01,-7.187988e+01
1.319667e+09,-7.282227e+01,-7.191895e+01
1.320333e+09,-7.283691e+01,-7.216797e+01
1.321000e+09,-7.269043e+01,-7.209473e+01
1.321667e+09,-7.277832e+01,-7.207031e+01
1.322333e+09,-7.273926e+01,-7.206055e+01
1.323000e+09,-7.307617e+01,-7.230469e+01
1.323667e+09,-7.303711e+01,-7.234863e+01
1.324333e+09,-7.283691e+01,-7.213379e+01
1.325000e+09,-7.301270e+01,-7.210449e+01
1.325667e+09,-7.254395e+01,-7.224121e+01
1.326333e+09,-7.270508e+01,-7.206055e+01
1.327000e+09,-7.202148e+01,-7.204590e+01
1.327667e+09,-7.225098e+01,-7.202637e+01
1.328333e+09,-7.206055e+01,-7.197754e+01
1.329000e+09,-7.232910e+01,-7.192383e+01
1.329667e+09,-7.256348e+01,-7.222656e+01
1.330333e+09,-7.249023e+01,-7.231934e+01
1.331000e+09,-7.273926e+01,-7.236816e+01
1.331667e+09,-7.305176e+01,-7.260742e+01
1.332333e+09,-7.312012e+01,-7.255371e+01
1.333000e+09,-7.339355e+01,-7.258301e+01
1.333667e+09,-7.349609e+01,-7.277344e+01
1.334333e+09,-7.340820e+01,-7.249512e+01
1.335000e+09,-7.352539e+01,-7.266602e+01
1.335667e+09,-7.325684e+01,-7.263672e+01
1.336333e+09,-7.335449e+01,-7.217773e+01
1.337000e+09,-7.344238e+01,-7.252441e+01
1.337667e+09,-7.306641e+01,-7.269043e+01
1.338333e+09,-7.309570e+01,-7.227539e+01
1.339000e+09,-7.321289e+01,-7.238770e+01
1.339667e+09,-7.303223e+01,-7.252930e+01
1.340333e+09,-7.305176e+01,-7.254883e+01
1.341000e+09,-7.301270e+01,-7.264648e+01
1.341667e+09,-7.316406e+01,-7.012695e+01
1.342333e+09,-7.325684e+01,-7.243164e+01
1.343000e+09,-7.337402e+01,-7.257812e+01
1.343667e+09,-7.336914e+01,-7.280762e+01
1.344333e+09,-7.343750e+01,-7.260742e+01
1.345000e+09,-7.367676e+01,-7.289551e+01
1.345667e+09,-7.320801e+01,-7.281738e+01
1.346333e+09,-7.341309e+01,-7.269531e+01
1.347000e+09,-7.348145e+01,-7.252441e+01
1.347667e+09,-7.339355e+01,-7.224121e+01
1.348333e+09,-7.305176e+01,-7.259766e+01
